frame,landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility
399,0.7366549968719482,0.4459288716316223,-0.05340928956866264,0.9991806149482727,0.7447200417518616,0.436720609664917,-0.054054081439971924,0.9993308782577515,0.746891975402832,0.4376510679721832,-0.05408680438995361,0.9993609189987183,0.7493414878845215,0.43859583139419556,-0.05412881821393967,0.9994363784790039,0.7413322329521179,0.43406614661216736,-0.03733599931001663,0.9990342855453491,0.7410235404968262,0.43333613872528076,-0.03735343739390373,0.9989345669746399,0.740740180015564,0.4325210154056549,-0.03741392493247986,0.9990277290344238,0.7602928876876831,0.4501473307609558,-0.04264213144779205,0.9995812177658081,0.747672438621521,0.4428630471229553,0.03894423693418503,0.9993995428085327,0.7394168376922607,0.46303921937942505,-0.043894000351428986,0.9994174242019653,0.734925389289856,0.46021920442581177,-0.022290941327810287,0.9989367127418518,0.7724205255508423,0.5299830436706543,-0.06983323395252228,0.99982750415802,0.7216088771820068,0.5237119197845459,0.10843439400196075,0.9989801049232483,0.796578049659729,0.5875460505485535,-0.23322610557079315,0.9890259504318237,0.6880348920822144,0.5916966795921326,0.16031581163406372,0.28597357869148254,0.7847861051559448,0.48156097531318665,-0.3676660358905792,0.950657308101654,0.6580948829650879,0.6038405299186707,0.11889567226171494,0.41883760690689087,0.7847954034805298,0.4576578438282013,-0.393405020236969,0.919600248336792,0.6458944082260132,0.6153703331947327,0.12066464126110077,0.42753922939300537,0.782500147819519,0.4542638659477234,-0.37278035283088684,0.9097188711166382,0.6472404599189758,0.6114412546157837,0.10016430914402008,0.4347958564758301,0.7808157205581665,0.4626835584640503,-0.36128121614456177,0.8928866982460022,0.6510611772537231,0.6091223955154419,0.10870376974344254,0.4383150637149811,0.7217233180999756,0.7496811151504517,-0.06700150668621063,0.9982964396476746,0.6986047625541687,0.7415004968643188,0.06676487624645233,0.993931770324707,0.6998224258422852,0.9209119081497192,-0.1283271163702011,0.8651586771011353,0.6661258935928345,0.8385927677154541,0.046680230647325516,0.4453456401824951,0.7390030026435852,0.9672474265098572,0.04668233543634415,0.7081508636474609,0.7431082725524902,0.8847353458404541,0.19030293822288513,0.2444673329591751,0.7498999238014221,0.9235906004905701,0.05899271368980408,0.7296640276908875,0.7574588060379028,0.8746045231819153,0.20822694897651672,0.4753696322441101,0.7256978750228882,1.0112286806106567,0.04392939805984497,0.6257525086402893,0.7416484355926514,0.9353386759757996,0.2310023009777069,0.3002434968948364
400,0.7374908924102783,0.4446607828140259,-0.08499228209257126,0.9992609620094299,0.7457262277603149,0.43529582023620605,-0.08222658187150955,0.9993964433670044,0.74815833568573,0.4363257884979248,-0.0822657123208046,0.9994237422943115,0.7509809136390686,0.43750911951065063,-0.08229481428861618,0.9994915723800659,0.741847574710846,0.43250787258148193,-0.06730704754590988,0.9991275072097778,0.7413089871406555,0.4316651225090027,-0.06732547283172607,0.9990377426147461,0.7407584190368652,0.43074044585227966,-0.06736642867326736,0.9991217255592346,0.7620580792427063,0.44965988397598267,-0.050041668117046356,0.9996213912963867,0.7471388578414917,0.440703421831131,0.02382245473563671,0.999457836151123,0.7400055527687073,0.4617524743080139,-0.07035921514034271,0.9994735717773438,0.7351135015487671,0.45860031247138977,-0.05121173709630966,0.9990389943122864,0.772994875907898,0.5287318825721741,-0.07677911221981049,0.9998427629470825,0.7201933264732361,0.5214356780052185,0.1041087880730629,0.9990629553794861,0.7927941083908081,0.584008514881134,-0.2515631914138794,0.9899745583534241,0.6862794756889343,0.5850786566734314,0.18872961401939392,0.34027567505836487,0.7845082879066467,0.47804397344589233,-0.4144420623779297,0.95526522397995,0.6497651934623718,0.5906742811203003,0.18594719469547272,0.47196313738822937,0.7851003408432007,0.4547010064125061,-0.44247040152549744,0.9267837405204773,0.6375541687011719,0.5992071032524109,0.19571247696876526,0.4774993658065796,0.7832218408584595,0.4510508179664612,-0.42398279905319214,0.9177827835083008,0.6385995149612427,0.5951489806175232,0.1734635978937149,0.4846525192260742,0.7814209461212158,0.459414005279541,-0.41030168533325195,0.9022035002708435,0.6425349116325378,0.5940546989440918,0.1763783097267151,0.48750510811805725,0.7221037149429321,0.7476139664649963,-0.06880063563585281,0.9984626173973083,0.6974505186080933,0.7368723750114441,0.06859452277421951,0.9945213794708252,0.696648359298706,0.9116644263267517,-0.12886741757392883,0.8767908811569214,0.6582575440406799,0.8179887533187866,0.025753622874617577,0.48617023229599,0.7386195659637451,0.9449571967124939,0.04291539266705513,0.7243090271949768,0.7316746711730957,0.8726277947425842,0.1521371454000473,0.25896236300468445,0.7506235241889954,0.884368360042572,0.05976395681500435,0.7226213812828064,0.7492960691452026,0.8574365377426147,0.16615311801433563,0.48352015018463135,0.7290512919425964,0.9888917803764343,0.05789804458618164,0.6437488198280334,0.7366339564323425,0.9159023761749268,0.18395328521728516,0.314635694026947
401,0.7375224828720093,0.44366562366485596,-0.10157258808612823,0.9993336796760559,0.745895266532898,0.43403342366218567,-0.09913637489080429,0.9994556307792664,0.7484105825424194,0.4351659119129181,-0.09918077290058136,0.9994804263114929,0.7513563632965088,0.4365263283252716,-0.09920628368854523,0.9995414614677429,0.741958498954773,0.4311750531196594,-0.0837230533361435,0.9992122650146484,0.7413924932479858,0.4302988350391388,-0.08374691754579544,0.9991313219070435,0.7407909631729126,0.4293554127216339,-0.08378224074840546,0.9992071986198425,0.7626275420188904,0.4492391049861908,-0.052473265677690506,0.9996578097343445,0.7469531297683716,0.4394040107727051,0.010009577497839928,0.9995110630989075,0.7399207353591919,0.46099451184272766,-0.08689683675765991,0.9995246529579163,0.7349546551704407,0.4577181935310364,-0.06702052056789398,0.999132513999939,0.7729251980781555,0.5285810828208923,-0.08192913234233856,0.9998562335968018,0.7197316288948059,0.519334614276886,0.10237844288349152,0.9991424679756165,0.7898370027542114,0.5792762041091919,-0.26826491951942444,0.9908231496810913,0.6844643950462341,0.5785226225852966,0.20153704285621643,0.39245855808258057,0.7837644815444946,0.47584062814712524,-0.4383946359157562,0.9594082832336426,0.6451491713523865,0.5780224204063416,0.22362692654132843,0.5209750533103943,0.7844133973121643,0.4520508646965027,-0.46691974997520447,0.9331480860710144,0.6327553987503052,0.5845896601676941,0.23555684089660645,0.5238494277000427,0.7826128005981445,0.44849374890327454,-0.44984474778175354,0.9249836206436157,0.6339818239212036,0.5813411474227905,0.2143634557723999,0.5309443473815918,0.7807864546775818,0.45717939734458923,-0.43538951873779297,0.9106048345565796,0.6378577947616577,0.5806715488433838,0.21511873602867126,0.5334662795066833,0.7225251793861389,0.7471466660499573,-0.06912921369075775,0.998610258102417,0.695506751537323,0.7321218848228455,0.06895183771848679,0.9950531721115112,0.6959453821182251,0.9054821729660034,-0.10803820937871933,0.8868073225021362,0.6503052711486816,0.7983731627464294,-0.003002217737957835,0.5279977321624756,0.7368414402008057,0.9490134119987488,0.06486882269382477,0.7422347068786621,0.7247780561447144,0.859175443649292,0.12837783992290497,0.2768588364124298,0.749461829662323,0.9342790246009827,0.08319108933210373,0.7236341834068298,0.7430148124694824,0.8452025651931763,0.1433401107788086,0.49417954683303833,0.7248507738113403,0.9943253993988037,0.06837674975395203,0.6624325513839722,0.7295923233032227,0.8998245000839233,0.1484605222940445,0.3320620059967041
402,0.737429141998291,0.44375279545783997,-0.09998543560504913,0.9993975758552551,0.7457965612411499,0.43336915969848633,-0.0986068993806839,0.9995078444480896,0.7483679056167603,0.43453508615493774,-0.09865111112594604,0.9995304942131042,0.7513478994369507,0.43593859672546387,-0.0986902043223381,0.9995856285095215,0.7419730424880981,0.43071258068084717,-0.08321268856525421,0.9992865920066833,0.7414088249206543,0.42989030480384827,-0.08321790397167206,0.9992128610610962,0.7407878637313843,0.4290359914302826,-0.08326996117830276,0.9992820620536804,0.762715220451355,0.44898393750190735,-0.05524279549717903,0.9996891617774963,0.7468985915184021,0.439044326543808,0.005476133897900581,0.9995584487915039,0.7399060726165771,0.4608249366283417,-0.08693401515483856,0.9995696544647217,0.7348188161849976,0.4577000141143799,-0.06700508296489716,0.9992145299911499,0.773979902267456,0.528853178024292,-0.08323360979557037,0.9998670220375061,0.718035101890564,0.5194985866546631,0.09582726657390594,0.9992021918296814,0.7872393727302551,0.5780934691429138,-0.2724476456642151,0.9914581775665283,0.6808539032936096,0.5762362480163574,0.20552127063274384,0.43244051933288574,0.7824805974960327,0.4751358926296234,-0.4494214653968811,0.9630433320999146,0.63911372423172,0.5673916339874268,0.23328623175621033,0.5643595457077026,0.7826842069625854,0.4497893154621124,-0.4779556691646576,0.9387003183364868,0.6267350912094116,0.5696566700935364,0.24435603618621826,0.5647763013839722,0.7810220122337341,0.4455583691596985,-0.46101656556129456,0.9312467575073242,0.6286471486091614,0.5645086765289307,0.22394195199012756,0.5715928077697754,0.7793652415275574,0.45470425486564636,-0.4465557038784027,0.9177954792976379,0.6329221725463867,0.5651245713233948,0.22499966621398926,0.5736108422279358,0.7228068113327026,0.7478165626525879,-0.06744371354579926,0.998719334602356,0.6917697787284851,0.7313677668571472,0.06734131276607513,0.9954099059104919,0.6965755224227905,0.9056334495544434,-0.07260458916425705,0.8937915563583374,0.639751672744751,0.7812108993530273,-0.0345563068985939,0.5613269805908203,0.7225827574729919,1.0091159343719482,0.020322371274232864,0.7616231441497803,0.7148423194885254,0.8478665947914124,0.10746870189905167,0.26931947469711304,0.7333921194076538,1.0301861763000488,0.026692068204283714,0.7241738438606262,0.7329285144805908,0.8337792158126831,0.12308897078037262,0.48149630427360535,0.7039201855659485,1.0404092073440552,-0.03391295298933983,0.6821781992912292,0.7233714461326599,0.8928097486495972,0.11986575275659561,0.3281230628490448
403,0.7372304797172546,0.44370269775390625,-0.089779332280159,0.9994537234306335,0.7456516623497009,0.43264681100845337,-0.09062865376472473,0.999553918838501,0.7481352090835571,0.43366941809654236,-0.09066726267337799,0.9995744824409485,0.7510061860084534,0.43491581082344055,-0.09069956094026566,0.9996246695518494,0.7420979738235474,0.430392324924469,-0.07443565130233765,0.9993525147438049,0.7416684627532959,0.42968130111694336,-0.07444962114095688,0.9992845058441162,0.7411948442459106,0.4289340078830719,-0.07451771199703217,0.9993483424186707,0.7625376582145691,0.4482133984565735,-0.055477507412433624,0.9997146129608154,0.7476943731307983,0.4387139081954956,0.006957138888537884,0.9996005296707153,0.7397611141204834,0.46073323488235474,-0.08010119944810867,0.9996080994606018,0.7347490191459656,0.45787060260772705,-0.059190671890974045,0.999284565448761,0.7747470140457153,0.5313772559165955,-0.08411580324172974,0.9998709559440613,0.71650630235672,0.5187183618545532,0.08707863837480545,0.999237596988678,0.7843155860900879,0.5761085748672485,-0.27148905396461487,0.9916673898696899,0.6782271862030029,0.5717853903770447,0.19348499178886414,0.4715597927570343,0.7821188569068909,0.47334200143814087,-0.4470639228820801,0.9660284519195557,0.6364686489105225,0.5580347180366516,0.21936365962028503,0.6046360731124878,0.7814695835113525,0.44726061820983887,-0.47389715909957886,0.9433324933052063,0.6241699457168579,0.5554841756820679,0.22852912545204163,0.6031826734542847,0.7791683077812195,0.4421122968196869,-0.4591509699821472,0.9364956021308899,0.6265424489974976,0.5498981475830078,0.21197791397571564,0.6096217632293701,0.7778526544570923,0.45152586698532104,-0.4446871280670166,0.9237670302391052,0.6309210062026978,0.55202317237854,0.21232545375823975,0.6109776496887207,0.7227539420127869,0.7488484978675842,-0.0631602331995964,0.9987908005714417,0.6896226406097412,0.7302165627479553,0.06307750195264816,0.9954688549041748,0.6966918706893921,0.9065404534339905,-0.06706052273511887,0.8957626223564148,0.632246196269989,0.7681938409805298,0.003087327117100358,0.5862057209014893,0.7166945934295654,1.048362374305725,-0.03237006813287735,0.7802530527114868,0.7102367877960205,0.8367269039154053,0.1559586524963379,0.25655439496040344,0.7255544662475586,1.0767847299575806,-0.0321287140250206,0.7244833707809448,0.7226136326789856,0.8202984929084778,0.1794762909412384,0.4646192491054535,0.6978853940963745,1.0777583122253418,-0.10789819061756134,0.7028549909591675,0.7151275277137756,0.8916237950325012,0.18853291869163513,0.3168715834617615
404,0.7371686697006226,0.4431559145450592,-0.0851462185382843,0.9995008111000061,0.7457641363143921,0.4322330951690674,-0.08706505596637726,0.999592125415802,0.7481926679611206,0.4332289695739746,-0.08710654079914093,0.9996111989021301,0.7509922981262207,0.4344245195388794,-0.08713914453983307,0.9996576905250549,0.7423526048660278,0.43027088046073914,-0.07103659957647324,0.9994070529937744,0.742043137550354,0.42969152331352234,-0.07105697691440582,0.9993429780006409,0.7417201995849609,0.4290688931941986,-0.07113655656576157,0.9994028210639954,0.762450098991394,0.4481104910373688,-0.06089895963668823,0.9997311234474182,0.7486140727996826,0.4389527142047882,0.002725651254877448,0.9996359348297119,0.7395647168159485,0.46019262075424194,-0.07759840786457062,0.9996396899223328,0.7346540689468384,0.45772725343704224,-0.05702262371778488,0.9993420839309692,0.7745250463485718,0.5331429243087769,-0.08720362931489944,0.9998650550842285,0.7154772877693176,0.5184711813926697,0.067543163895607,0.9992507696151733,0.7812312245368958,0.5740067958831787,-0.2804718315601349,0.9915437698364258,0.6746090054512024,0.5692593455314636,0.15754926204681396,0.5119317173957825,0.7792429327964783,0.47269970178604126,-0.4601091742515564,0.9684526920318604,0.6318413615226746,0.5477581024169922,0.1820303499698639,0.6414045691490173,0.7783406972885132,0.4469291567802429,-0.48861485719680786,0.947185754776001,0.621369481086731,0.5402979850769043,0.18128648400306702,0.6382119059562683,0.7782701253890991,0.44142720103263855,-0.47571849822998047,0.9408749341964722,0.624245285987854,0.535045862197876,0.1772213876247406,0.64424729347229,0.7774955034255981,0.4512963891029358,-0.45873117446899414,0.9287218451499939,0.627782940864563,0.5382535457611084,0.17955002188682556,0.6450331807136536,0.7223824262619019,0.7498964071273804,-0.05690496042370796,0.9988511800765991,0.6891795992851257,0.7249945998191833,0.0568586103618145,0.9955083727836609,0.697050154209137,0.8999481797218323,-0.06537605822086334,0.8969672918319702,0.6271759271621704,0.7527379989624023,0.012256024405360222,0.6073291301727295,0.7149440050125122,1.0521870851516724,-0.036305155605077744,0.7965669631958008,0.6896438002586365,0.827008068561554,0.18805913627147675,0.24467824399471283,0.7224301099777222,1.0797945261001587,-0.036051373928785324,0.7243062257766724,0.7042109966278076,0.8187207579612732,0.209119513630867,0.44592201709747314,0.6968922019004822,1.0843040943145752,-0.113314189016819,0.7206458449363708,0.692816972732544,0.8750704526901245,0.21315403282642365,0.304612934589386
405,0.736911416053772,0.4429289996623993,-0.07049380987882614,0.9995461106300354,0.7455247640609741,0.4320699870586395,-0.07259652018547058,0.999629020690918,0.7479068040847778,0.43304914236068726,-0.07264982908964157,0.9996463656425476,0.7506305575370789,0.43417125940322876,-0.07267133891582489,0.9996892809867859,0.7421604990959167,0.43024373054504395,-0.05709897726774216,0.9994601011276245,0.741876482963562,0.42973360419273376,-0.057126689702272415,0.9994004368782043,0.7415872812271118,0.4291791617870331,-0.05721567943692207,0.9994559288024902,0.7620996236801147,0.448178768157959,-0.056648604571819305,0.9997510313987732,0.748516857624054,0.43934398889541626,0.009060679003596306,0.9996692538261414,0.7392059564590454,0.4601344168186188,-0.0658864825963974,0.999670147895813,0.7343904376029968,0.457788348197937,-0.04592263326048851,0.9993973970413208,0.7741460204124451,0.5346022844314575,-0.08745358139276505,0.9998623132705688,0.7146223783493042,0.5185854434967041,0.07381133735179901,0.999263346195221,0.7785895466804504,0.5729919672012329,-0.28062230348587036,0.9914119243621826,0.6743476986885071,0.5676992535591125,0.16327032446861267,0.5468077063560486,0.7748063802719116,0.474709153175354,-0.4548558294773102,0.9708358645439148,0.6327325105667114,0.5383321046829224,0.17844678461551666,0.6744775772094727,0.7726981043815613,0.4484880268573761,-0.4835434556007385,0.9510285258293152,0.621108889579773,0.5284039974212646,0.18207375705242157,0.6697253584861755,0.773772120475769,0.44255468249320984,-0.47118639945983887,0.9452123045921326,0.6236987113952637,0.522942841053009,0.16864466667175293,0.6753854751586914,0.7736189365386963,0.45276322960853577,-0.4534861147403717,0.9335911870002747,0.6272724866867065,0.526906430721283,0.17197498679161072,0.6756643056869507,0.721639096736908,0.7503162026405334,-0.056617606431245804,0.9989086985588074,0.6881676316261292,0.7219375371932983,0.056610941886901855,0.9956541061401367,0.6965683102607727,0.8970714807510376,-0.0723770335316658,0.9013428688049316,0.6230030655860901,0.7366164922714233,0.005658034700900316,0.6336826682090759,0.7144951224327087,1.047127604484558,-0.04910304397344589,0.8124263286590576,0.6794098019599915,0.8184722661972046,0.17207148671150208,0.24368663132190704,0.7215812802314758,1.0714749097824097,-0.04869893938302994,0.7310466766357422,0.6937981843948364,0.8129594326019287,0.19101481139659882,0.441057413816452,0.6994122862815857,1.0834180116653442,-0.12433147430419922,0.73887699842453,0.6798033714294434,0.8637384176254272,0.1900225281715393,0.30252644419670105
406,0.7366328239440918,0.4435406029224396,-0.06405583024024963,0.9995880722999573,0.7451239824295044,0.43255186080932617,-0.06696303188800812,0.9996635913848877,0.7475075125694275,0.4334895610809326,-0.06702207028865814,0.9996793866157532,0.750244140625,0.43458831310272217,-0.06703989207744598,0.9997186660766602,0.7418112754821777,0.4307124614715576,-0.050656069070100784,0.9995095133781433,0.7415450215339661,0.4301779866218567,-0.05068962648510933,0.9994543194770813,0.7412816286087036,0.4295998811721802,-0.05075724795460701,0.9995054602622986,0.7618025541305542,0.4483381509780884,-0.0544855073094368,0.9997720718383789,0.7482635974884033,0.43954068422317505,0.01736021786928177,0.9997002482414246,0.7389591932296753,0.4607064425945282,-0.060083966702222824,0.999699056148529,0.7341978549957275,0.4583582580089569,-0.03880424425005913,0.9994497895240784,0.773899257183075,0.5346254706382751,-0.09004674106836319,0.9998653531074524,0.7147220969200134,0.518938422203064,0.0822615772485733,0.9992747902870178,0.775849461555481,0.5681962966918945,-0.29193687438964844,0.9913091063499451,0.6732131838798523,0.5622552633285522,0.19157420098781586,0.5767279267311096,0.7707453966140747,0.478877991437912,-0.47224077582359314,0.9729213714599609,0.632697343826294,0.5275234580039978,0.22113680839538574,0.7040215134620667,0.7669386863708496,0.454426109790802,-0.502468466758728,0.9544063210487366,0.6209229230880737,0.5155113339424133,0.2285117208957672,0.6978604197502136,0.7678541541099548,0.4487976133823395,-0.49543100595474243,0.9490706920623779,0.6229320764541626,0.5104005336761475,0.21232087910175323,0.7032849192619324,0.7683702707290649,0.45824867486953735,-0.4735550284385681,0.9380070567131042,0.6263625025749207,0.5150193572044373,0.2138107270002365,0.7033203840255737,0.7195420265197754,0.7503812909126282,-0.05785907059907913,0.9989709258079529,0.6880250573158264,0.7205535173416138,0.057810842990875244,0.9958597421646118,0.695641040802002,0.8970367312431335,-0.07407556474208832,0.9077609777450562,0.6234318017959595,0.719549298286438,-0.008761445060372353,0.6636538505554199,0.7130483984947205,1.0482734441757202,-0.06688029319047928,0.8291441202163696,0.6716710329055786,0.8181016445159912,0.12272576242685318,0.2728651463985443,0.7202929258346558,1.0732769966125488,-0.06819796562194824,0.7464428544044495,0.6856101751327515,0.8206239342689514,0.1358434408903122,0.4602959454059601,0.6986852288246155,1.084768295288086,-0.1535930186510086,0.7601873874664307,0.669155478477478,0.8564672470092773,0.11738286912441254,0.33014342188835144
407,0.7364864349365234,0.4444771111011505,-0.04313790053129196,0.9996228814125061,0.744971752166748,0.43331143260002136,-0.049520112574100494,0.9996926188468933,0.7474469542503357,0.43404459953308105,-0.04958833009004593,0.9997071027755737,0.7501488327980042,0.4349125325679779,-0.04961182922124863,0.9997437596321106,0.7415727972984314,0.43184781074523926,-0.03033919632434845,0.9995509386062622,0.7412914037704468,0.4314570426940918,-0.03038550540804863,0.9994994401931763,0.7410188317298889,0.4310106635093689,-0.03045576810836792,0.9995477795600891,0.7617418766021729,0.4485117197036743,-0.051149237900972366,0.999786913394928,0.7482212781906128,0.44144871830940247,0.03517543524503708,0.9997269511222839,0.7388757467269897,0.46080923080444336,-0.04383084923028946,0.99972003698349,0.7340753674507141,0.4586838483810425,-0.018425729125738144,0.9994894862174988,0.7737018465995789,0.5351033806800842,-0.09231077879667282,0.9998526573181152,0.7148470878601074,0.5207829475402832,0.09401722252368927,0.9992800354957581,0.7720695734024048,0.5628291368484497,-0.2999917268753052,0.9893490076065063,0.6722450256347656,0.5615260004997253,0.1917714923620224,0.6042951941490173,0.7666573524475098,0.4824381470680237,-0.4783424735069275,0.9735094308853149,0.6317585110664368,0.522257924079895,0.20666611194610596,0.7301589846611023,0.7626948952674866,0.457122802734375,-0.5098922252655029,0.9558069109916687,0.6200457811355591,0.5076461434364319,0.21170440316200256,0.7223659753799438,0.7637885212898254,0.45307838916778564,-0.5025309324264526,0.9507424235343933,0.6216620206832886,0.5027183294296265,0.1945180594921112,0.7276898622512817,0.7647316455841064,0.4634546637535095,-0.4798192083835602,0.9394466876983643,0.6249973177909851,0.507872462272644,0.19831210374832153,0.7274460792541504,0.718001663684845,0.7522286176681519,-0.058360449969768524,0.9990158677101135,0.6878947019577026,0.7212350368499756,0.05842022970318794,0.9960814714431763,0.6950907707214355,0.8980797529220581,-0.07652682811021805,0.9134529829025269,0.6230774521827698,0.7053191065788269,-0.027410879731178284,0.6923786401748657,0.7114056944847107,1.047210693359375,-0.047444939613342285,0.8442301154136658,0.664947509765625,0.8133819699287415,0.0988910123705864,0.3077455461025238,0.718255877494812,1.0718863010406494,-0.04673590511083603,0.7587677836418152,0.6795784831047058,0.8187430500984192,0.11167873442173004,0.4806073009967804,0.6969219446182251,1.0825448036193848,-0.133058100938797,0.779538631439209,0.657914400100708,0.8535146713256836,0.08605482429265976,0.3623124063014984
408,0.7360969185829163,0.44733890891075134,-0.03264492005109787,0.9996577501296997,0.744706392288208,0.4365502595901489,-0.03884800523519516,0.9997208118438721,0.7470471262931824,0.43713831901550293,-0.038906924426555634,0.9997340440750122,0.7496324777603149,0.4379115700721741,-0.03892137482762337,0.9997676610946655,0.7413870096206665,0.43519923090934753,-0.020745115354657173,0.9995918869972229,0.7411612272262573,0.43468016386032104,-0.020789120346307755,0.9995447397232056,0.740958571434021,0.4341824948787689,-0.020855531096458435,0.9995890855789185,0.7611986994743347,0.452043354511261,-0.041574783623218536,0.9998037219047546,0.7481998205184937,0.4456475079059601,0.04091041535139084,0.9997522830963135,0.7385085225105286,0.46224576234817505,-0.033029817044734955,0.9997426271438599,0.7339420318603516,0.460368812084198,-0.009144820272922516,0.9995306134223938,0.7736125588417053,0.5362657308578491,-0.08648136258125305,0.9998529553413391,0.7148866653442383,0.5237598419189453,0.09840548038482666,0.9993004202842712,0.7706567049026489,0.565101683139801,-0.2821485996246338,0.9891115427017212,0.6706995964050293,0.5613528490066528,0.17912767827510834,0.6364240050315857,0.7605215907096863,0.4940392076969147,-0.44005829095840454,0.9752762913703918,0.6305224895477295,0.5151650905609131,0.16650676727294922,0.7554202675819397,0.7550694346427917,0.4678974151611328,-0.4678731858730316,0.9586181640625,0.6190953850746155,0.5008441209793091,0.1645696610212326,0.7467713952064514,0.7565515041351318,0.46304523944854736,-0.4737892746925354,0.9538899660110474,0.6208891272544861,0.49636879563331604,0.1518077254295349,0.7517452836036682,0.7580759525299072,0.474334180355072,-0.44494256377220154,0.9430539011955261,0.6242075562477112,0.5014766454696655,0.15896913409233093,0.7512769103050232,0.7171185612678528,0.7542534470558167,-0.05901802331209183,0.9990615844726562,0.68815016746521,0.7205877304077148,0.059050679206848145,0.9962923526763916,0.6946749687194824,0.9029704332351685,-0.07867857813835144,0.9201417565345764,0.6231180429458618,0.6929017901420593,-0.013479734770953655,0.7190966606140137,0.7128137350082397,1.0535649061203003,-0.062231820076704025,0.8582822680473328,0.6605738401412964,0.8100782036781311,0.09259296208620071,0.34863847494125366,0.7206012010574341,1.08137845993042,-0.06307382881641388,0.7733480930328369,0.6751527190208435,0.8199714422225952,0.10282214730978012,0.5060198307037354,0.6971949338912964,1.086828589439392,-0.14381861686706543,0.7978196740150452,0.6448333263397217,0.8460935950279236,0.082701675593853,0.3987096846103668
